"year","acre_planted_corn","acre_planted_soy","acre_harvest_corn","acre_harvest_soy","yield_corn","yield_soy","corn_usd_per_bu","soy_usd_per_bu","inflation_adj_ind","corn_adjusted","soy_adjusted","pratio_cornsoy"
1924,NA,23000,8767000,10000,28,12,1.02,2.5,14.55,14.84,36.38,0.407916437603079
1925,NA,18000,9665000,7000,43.9,14,0.65,2.34,14.55,9.52,34.05,0.279588839941263
1926,11195000,24000,9515000,10000,39,15,0.72,2,14.06,10.05,28.12,0.357396870554765
1927,10980000,48000,9035000,23000,35,12,0.8,1.8,14.38,11.56,25.88,0.446676970633694
1928,11300000,63000,9752000,21000,41.5,17,0.8,1.86,14.55,11.61,27.06,0.429046563192905
1929,11048000,80000,9684000,36000,40.2,16,0.76,1.86,14.72,11.25,27.38,0.410883856829803
1930,11449000,124000,9831000,66000,34,15.5,0.55,1.34,14.72,8.1,19.72,0.410750507099391
1931,11791000,159000,10037000,51000,32.9,15.5,0.29,0.48,15.83,4.65,7.61,0.611038107752957
1932,11849000,217000,10747000,52000,43,18,0.29,0.53,17.6,5.14,9.31,0.552094522019334
1933,11493000,248000,10435000,95000,40,17,0.49,0.92,19.51,9.64,17.89,0.538848518725545
1934,9501000,853000,5701000,180000,28.2,11.5,0.8,0.96,19.07,15.29,18.36,0.832788671023965
1935,9925000,1200000,8962000,408000,38,16.5,0.63,0.71,18.51,11.7,13.22,0.885022692889561
